"R_anti_pad [um]","Freq [GHz]","dB(St(Trace_out_L1_T1,Trace_out_L1_T1)) []","dB(St(Trace_out_L1_T2,Trace_out_L1_T1)) []"
300,1.69,-37.7524415081239,-0.131806304802281
300,1.7,-37.7059282742,-0.132685288765772
300,1.71,-37.6596964848033,-0.133563795485134
300,1.72,-37.6137440162022,-0.134441831308321
300,1.73,-37.5680687468783,-0.135319402904526
300,1.74,-37.5226685582828,-0.136196517251406
300,1.75,-37.477541335562,-0.13707318162264
300,1.76,-37.4326849682603,-0.137949403575876
300,1.77,-37.3880973509932,-0.138825190941028
300,1.78,-37.3437763840943,-0.139700551808922
300,1.79,-37.2997199742331,-0.140575494520258
300,1.8,-37.2559260350074,-0.141450027654931
300,1.81,-37.2123924875057,-0.142324160021609
300,1.82,-37.1691172608457,-0.143197900647723
300,1.83,-37.1260982926824,-0.144071258769645
300,1.84,-37.0833335296922,-0.144944243823235
300,1.85,-37.0408209280302,-0.145816865434656
300,1.86,-36.9985584537618,-0.146689133411445
300,1.87,-36.9565440832686,-0.147561057733892
300,1.88,-36.9147758036317,-0.148432648546651
300,1.89,-36.8732516129892,-0.149303916150604
300,1.9,-36.8319695208709,-0.15017487099503
300,1.91,-36.7909275485108,-0.151045523669921
300,1.92,-36.7501237291385,-0.151915884898646
300,1.93,-36.709556108246,-0.152785965530734
300,1.94,-36.6692227438373,-0.153655776534958
300,1.95,-36.6291217066568,-0.154525328992618
300,1.96,-36.5892510803978,-0.155394634091005
300,1.97,-36.5496089618935,-0.156263703117124
300,1.98,-36.5101934612884,-0.157132547451539
300,1.99,-36.4710027021949,-0.158001178562496
300,2,-36.432034821831,-0.158869608000193
300,2.01,-36.3932879711427,-0.159737847391207
300,2.02,-36.3547603149126,-0.160605908433154
300,2.03,-36.3164500318509,-0.161473802889506
300,2.04,-36.278355314676,-0.16234154258453
300,2.05,-36.2404743701776,-0.163209139398457
300,2.06,-36.2028054192711,-0.164076605262766
300,2.07,-36.1653466970366,-0.164943952155647
300,2.08,-36.1280964527477,-0.165811192097596
300,2.09,-36.0910529498893,-0.166678337147154
300,2.1,-36.0542144661636,-0.167545399396823
300,2.11,-36.0175792934872,-0.168412390969061
300,2.12,-35.9811457379791,-0.169279324012471
300,2.13,-35.9449121199377,-0.170146210698071
300,2.14,-35.9088767738118,-0.17101306321573
300,2.15,-35.87303804816,-0.171879893770696
300,2.16,-35.8373943056066,-0.172746714580256
300,2.17,-35.8019439227877,-0.173613537870513
300,2.18,-35.7666852902898,-0.174480375873287
300,2.19,-35.7316168125845,-0.175347240823075
300,2.2,-35.6967369079558,-0.176214144954202
300,2.21,-35.6620440084209,-0.177081100497992
300,2.22,-35.6275365596472,-0.177948119680083
300,2.23,-35.5932130208632,-0.178815214717852
