"Freq [GHz]","dB(St(patch_T1,patch_T1)) []"
2.5,-8.79479189630433
2.51,-6.06863780342511
2.52,-4.3127724190724
2.53,-3.15700063043552
2.54,-2.37568163690282
2.55,-1.83330764971832
2.56,-1.44713056287133
2.57,-1.16558960284113
2.58,-0.955848745394786
2.59,-0.796517983629769
2.6,-0.673345236290476
2.61,-0.576624704197643
2.62,-0.49960856406104
2.63,-0.437514076134724
2.64,-0.386890277816108
2.65,-0.345205962831984
2.66,-0.310576477365064
2.67,-0.2815792712812
2.68,-0.257127257555985
2.69,-0.236380504217984
2.7,-0.218683790864202
2.71,-0.203521920835597
2.72,-0.190487442091279
2.73,-0.179257214375298
2.74,-0.169575438874869
2.75,-0.16124156515711
2.76,-0.154102045422673
2.77,-0.148045291852594
2.78,-0.142999418833187
2.79,-0.138932321716736
2.8,-0.135853033244746
2.81,-0.133811291729089
2.82,-0.132887160878124
2.83,-0.13315206466966
2.84,-0.134568599738709
2.85,-0.136803724998542
2.86,-0.139031505592997
2.87,-0.140023720419128
2.88,-0.138795372444333
2.89,-0.135324323805443
2.9,-0.130465243220208
2.91,-0.125231085092133
2.92,-0.120296602690202
2.93,-0.115954689028969
2.94,-0.112260257975369
2.95,-0.109161333378795
2.96,-0.106573097395865
2.97,-0.104410622736052
2.98,-0.102600259965535
2.99,-0.101081794892799
3,-0.0998072231172857
3.01,-0.0987386263870885
3.02,-0.0978460885304392
3.03,-0.097105938975808
3.04,-0.096499361705409
3.05,-0.0960113240601985
3.06,-0.0956297615762104
3.07,-0.0953449597497371
3.08,-0.0951490845540039
3.09,-0.0950358245577636
3.1,-0.0950001167356011
3.11,-0.0950379352621786
3.12,-0.0951461279859734
3.13,-0.0953222892777299
3.14,-0.0955646608774585
3.15,-0.0958720545112079
3.16,-0.0962437916237907
3.17,-0.0966796567344173
3.18,-0.0971798617823372
3.19,-0.0977450194732883
3.2,-0.098376124121534
3.21,-0.0990745388490018
3.22,-0.0998419882906184
