"Freq [GHz]","dB(St(sma_cpw_Unnamed_4_T1,sma_cpw_Unnamed_4_T1)) []","dB(St(micro_line_T1,sma_cpw_Unnamed_4_T1)) []"
1.43,-9.43366467202872,-0.548986143545289
1.44,-9.55139443407106,-0.534220950345427
1.45,-9.67358474099878,-0.519361702305212
1.46,-9.80040466629873,-0.504423827779152
1.47,-9.93203405666545,-0.489423050418027
1.48,-10.0686644398199,-0.474375378758761
1.49,-10.2105000364843,-0.459297094863234
1.5,-10.3577588911657,-0.444204741975716
1.51,-10.5106741388608,-0.429115111170835
1.52,-10.6694954277255,-0.414045226966556
1.53,-10.8344905212864,-0.399012331879794
1.54,-11.0059471080142,-0.384033869905448
1.55,-11.1841748512336,-0.369127468903553
1.56,-11.3695077186019,-0.354310921883181
1.57,-11.5623066380519,-0.339602167176357
1.58,-11.7629625365059,-0.325019267500046
1.59,-11.9718998293034,-0.310580387909354
1.6,-12.1895804427493,-0.296303772650992
1.61,-12.4165084702811,-0.282207720931586
1.62,-12.6532355855242,-0.268310561621959
1.63,-12.9003673643762,-0.254630626924881
1.64,-13.1585707051148,-0.241186225040647
1.65,-13.4285825829545,-0.227995611871799
1.66,-13.7112204370052,-0.215076961815694
1.67,-14.0073945681304,-0.202448337700682
1.68,-14.3181230326171,-0.190127659929426
1.69,-14.6445496586176,-0.178132674900175
1.7,-14.9879660039956,-0.166480922784117
1.71,-15.3498383359116,-0.155189704744713
1.72,-15.7318410743763,-0.144276049691455
1.73,-16.1358986493977,-0.133756680668104
1.74,-16.5642384435552,-0.123647980981467
1.75,-17.0194585368634,-0.113965960183288
1.76,-17.504615510578,-0.104726220023638
1.77,-18.0233398812234,-0.095943920499067
1.78,-18.5799902936298,-0.0876337461236435
1.79,-19.1798632069099,-0.0798098725546604
1.8,-19.8294838885928,-0.0724859337079357
1.81,-20.5370197182402,-0.0656749894999141
1.82,-21.3128831322973,-0.0593894943550967
1.83,-22.1706391439102,-0.0536412666176559
1.84,-23.1284227423491,-0.0484414590056537
1.85,-24.2112532942711,-0.0438005302445921
1.86,-25.4550254345454,-0.0397282180143925
1.87,-26.9138792572838,-0.0362335133401183
1.88,-28.6750781950755,-0.0333246365523396
1.89,-30.8928916671519,-0.0310090149366274
1.9,-33.8803829369733,-0.0292932621855654
1.91,-38.4356763334618,-0.0281831597583382
1.92,-47.5035005475844,-0.0276836402446075
1.93,-44.7645278562623,-0.0277987728195799
1.94,-37.1922083970724,-0.0285317508669689
1.95,-33.0918987945242,-0.029884881835401
1.96,-30.3014259772586,-0.0318595793824286
1.97,-28.1886184981369,-0.0344563578474879
1.98,-26.4896510251578,-0.0376748290836654
1.99,-25.0697674875804,-0.0415137016641765
2,-23.8509454202296,-0.0459707824672763
2.01,-22.7839794960709,-0.0510429806298908
2.02,-21.835848813382,-0.0567263138477775
2.03,-20.9833209682174,-0.0630159169866323
2.04,-20.2094308586115,-0.0699060529570211
2.05,-19.5014118643546,-0.077390125793337
2.06,-18.8494154155233,-0.0854606958661124
2.07,-18.2456839957912,-0.094109497146204
2.08,-17.6839976577709,-0.103327456429097
2.09,-17.1592922464869,-0.113104714418834
2.1,-16.6673891497707,-0.123430648562543
2.11,-16.2047996429902,-0.134293897519512
2.12,-15.7685804173215,-0.145682387141849
2.13,-15.3562250262017,-0.157583357839302
2.14,-14.9655810445739,-0.169983393196105
2.15,-14.5947859654094,-0.182868449704304
2.16,-14.2422169701849,-0.196223887476642
2.17,-13.9064511215597,-0.210034501800126
2.18,-13.5862334884749,-0.224284555392046
2.19,-13.2804513812106,-0.238957811220589
2.2,-12.9881133443797,-0.254037565754191
2.21,-12.7083318924219,-0.269506682506688
2.22,-12.4403092162723,-0.285347625748072
2.23,-12.1833252691414,-0.301542494255857
2.24,-11.9367277725213,-0.318073054986262
2.25,-11.6999237835337,-0.334920776549928
2.26,-11.4723725405847,-0.352066862383187
2.27,-11.2535793623533,-0.369492283512462
2.28,-11.0430904199729,-0.387177810815211
2.29,-10.8404882371775,-0.405104046689269
2.3,-10.6453878005614,-0.423251456048675
2.31,-10.4574331837434,-0.441600396572012
2.32,-10.2762946064389,-0.460131148136506
2.33,-10.1016658632246,-0.478823941378817
2.34,-9.93326206788316,-0.49765898533096
2.35,-9.7708176682105,-0.516616494086705
2.36,-9.61408469349309,-0.535676712461359
2.37,-9.4628312028624,-0.554819940614917
2.38,-9.31683990767017,-0.574026557614653
2.39,-9.17590694510841,-0.593277043920244
2.4,-9.03984078368655,-0.612552002780662
2.41,-8.90846124400454,-0.631832180537304
2.42,-8.78159862062626,-0.651098485833901
2.43,-8.65909289284706,-0.670332007738526
2.44,-8.54079301382715,-0.689514032787912
2.45,-8.42655626898353,-0.708626060968438
2.46,-8.31624769574034,-0.727649820652284
2.47,-8.20973955776654,-0.746567282510921
2.48,-8.10691086770972,-0.765360672431132
2.49,-8.00764695318921,-0.784012483461829
2.5,-7.91183906146092,-0.802505486822412
2.51,-7.81938399872579,-0.820822742005652
2.52,-7.7301838005381,-0.838947606009794
2.53,-7.6441454301891,-0.856863741736577
2.54,-7.56118050230647,-0.87455512559266
2.55,-7.48120502922776,-0.892006054333259
2.56,-7.40413918798311,-0.909201151187619
2.57,-7.32990710596599,-0.926125371306381
2.58,-7.25843666358256,-0.942764006571026
2.59,-7.18965931235845,-0.959102689806347
2.6,-7.12350990714565,-0.975127398436132
2.61,-7.05992655121809,-0.99082445762236
2.62,-6.99885045317261,-1.00618054292811
2.63,-6.94022579466627,-1.02118268254335
2.64,-6.88399960812129,-1.03581825911266
2.65,-6.83012166361952,-1.05007501120311
2.66,-6.7785443642875,-1.06394103444955
2.67,-6.72922264954515,-1.07740478241412
2.68,-6.68211390565449,-1.09045506719551
2.69,-6.63717788306237,-1.10308105982279
2.7,-6.59437662008193,-1.11527229046752
2.71,-6.55367437250428,-1.12701864850713
2.72,-6.51503754877318,-1.13831038247086
2.73,-6.47843465039279,-1.14913809989944
2.74,-6.44383621727324,-1.1594927671478
2.75,-6.41121477774935,-1.16936570915965
2.76,-6.38054480303566,-1.17874860924145
2.77,-6.35180266590749,-1.18763350886211
2.78,-6.32496660342027,-1.19601280750437
2.79,-6.30001668350209,-1.203879262592
2.8,-6.27693477527361,-1.21122598951656
2.81,-6.25570452296855,-1.21804646178636
2.82,-6.23631132334507,-1.22433451131929
2.83,-6.21874230649452,-1.23008432889998
2.84,-6.20298631996945,-1.23529046482169
2.85,-6.18903391616701,-1.23994782973138
2.86,-6.17687734291778,-1.24405169569638
2.87,-6.16651053724318,-1.24759769750989
2.88,-6.15792912225744,-1.25058183425171
2.89,-6.15113040720234,-1.25300047111983
2.9,-6.14611339061531,-1.25485034154776
2.91,-6.14287876664339,-1.25612854962171
2.92,-6.14142893452721,-1.2568325728105
