"Freq [GHz]","dB(St(Microstrip_1B_T1,Microstrip_1B_T1)) []","dB(St(Microstrip_1B_T2,Microstrip_1B_T1)) []"
0.72,-47.376295797939,-0.0501170559497623
0.73,-47.2394318676824,-0.0506899676831484
0.74,-47.1047416138591,-0.0512629994071533
0.75,-46.9721466336396,-0.0518362117308179
0.76,-46.8415727396607,-0.0524096614886659
0.77,-46.7129497156237,-0.0529834018703851
0.78,-46.5862110846773,-0.0535574825504081
0.79,-46.4612938901074,-0.0541319498168861
0.8,-46.3381384878596,-0.0547068466997106
0.81,-46.2166883504131,-0.0552822130971226
0.82,-46.0968898815681,-0.0558580859006952
0.83,-45.9786922416494,-0.0564344991183396
0.84,-45.8620471827175,-0.0570114839950663
0.85,-45.7469088932779,-0.0575890691314004
0.86,-45.6332338520952,-0.0581672805991728
0.87,-45.52098069065,-0.0587461420545989
0.88,-45.4101100638018,-0.0593256748485178
0.89,-45.3005845282564,-0.0599058981336683
0.9,-45.192368428421,-0.0604868289690033
0.91,-45.0854277892493,-0.061068482420941
0.92,-44.9797302156933,-0.0616508716614867
0.93,-44.8752447984021,-0.0622340080633105
0.94,-44.7719420252935,-0.0628179012917079
0.95,-44.6697936986837,-0.063402559393425
0.96,-44.5687728576162,-0.0639879888824958
0.97,-44.4688537051126,-0.0645741948229364
0.98,-44.3700115400253,-0.0651611809085346
0.99,-44.2722226932212,-0.0657489495396278
1,-44.1754644678232,-0.0663375018969797
1.01,-44.0797150832654,-0.0669268380128215
1.02,-43.9849536229115,-0.0675169568391308
1.03,-43.8911599850186,-0.0681078563131004
1.04,-43.7983148368297,-0.0686995334200552
1.05,-43.7063995715966,-0.0692919842537234
1.06,-43.6153962683378,-0.0698852040739502
1.07,-43.5252876541676,-0.0704791873621018
1.08,-43.4360570690105,-0.0710739278738954
1.09,-43.3476884325616,-0.0716694186900894
1.1,-43.2601662133374,-0.0722656522648655
1.11,-43.1734753996812,-0.0728626204720583
1.12,-43.087601472598,-0.0734603146493061
1.13,-43.0025303802882,-0.0740587256401615
1.14,-42.9182485142835,-0.0746578438342566
1.15,-42.8347426870647,-0.0752576592056218
1.16,-42.7520001110705,-0.0758581613490972
1.17,-42.6700083790089,-0.0764593395151327
1.18,-42.5887554453718,-0.0770611826427422
1.19,-42.5082296090898,-0.0776636793909553
1.2,-42.4284194972382,-0.0782668181686622
1.21,-42.349314049738,-0.0788705871629395
1.22,-42.2709025049674,-0.0794749743659634
1.23,-42.1931743862469,-0.0800799676005094
1.24,-42.1161194891226,-0.0806855545441315
1.25,-42.0397278694047,-0.0812917227520633
1.26,-41.9639898319041,-0.0818984596788877
1.27,-41.888895919834,-0.0825057526990028
1.28,-41.8144369048193,-0.0831135891260178
1.29,-41.7406037774801,-0.0837219562310031
1.3,-41.6673877385583,-0.084330841259732
1.31,-41.59478019054,-0.0849402314489306
1.32,-41.5227727297508,-0.0855501140415688
1.33,-41.451357138892,-0.0861604763012473
1.34,-41.3805253799848,-0.0867713055256828
1.35,-41.3102695877042,-0.0873825890594208
1.36,-41.2405820630695,-0.0879943143057065
1.37,-41.1714552674779,-0.0886064687375758
1.38,-41.1028818170483,-0.0892190399082937
1.39,-41.0348544772702,-0.0898320154609985
1.4,-40.9673661579211,-0.0904453831377955
1.41,-40.9004099082556,-0.0910591307881107
1.42,-40.8339789124287,-0.0916732463765129
1.43,-40.7680664851588,-0.0922877179899336
1.44,-40.7026660675968,-0.09290253384432
1.45,-40.637771223408,-0.0935176822908401
1.46,-40.5733756350328,-0.0941331518214835
1.47,-40.5094731001366,-0.0947489310742611
1.48,-40.4460575282216,-0.0953650088379512
1.49,-40.3831229373966,-0.0959813740563763
1.5,-40.3206634512986,-0.0965980158323172
1.51,-40.2586732961526,-0.0972149234310118
1.52,-40.1971467979622,-0.0978320862832852
1.53,-40.1360783798248,-0.0984494939883644
1.54,-40.0754625593647,-0.0990671363163192
1.55,-40.0152939462746,-0.0996850032102253
