"Freq [GHz]","dB(St(Diff1,Diff1)) []","dB(St(Diff2,Diff1)) []"
1.14,-40.4073562501247,-0.103143509193151
1.15,-40.3194661605349,-0.103904557801104
1.16,-40.2324755547954,-0.104665194825792
1.17,-40.1463688117808,-0.105425444852629
1.18,-40.0611306765299,-0.106185331267522
1.19,-39.976746248449,-0.106944876298737
1.2,-39.8932009701309,-0.107704101057771
1.21,-39.8104806167321,-0.108463025579359
1.22,-39.7285712858856,-0.109221668860508
1.23,-39.6474593880813,-0.109980048898621
1.24,-39.5671316375042,-0.110738182728601
1.25,-39.487575043279,-0.11149608645909
1.26,-39.4087769011074,-0.112253775307688
1.27,-39.3307247852553,-0.113011263635279
1.28,-39.2534065408778,-0.113768564979352
1.29,-39.1768102766577,-0.114525692086487
1.3,-39.1009243577254,-0.115282656943812
1.31,-39.0257373988635,-0.116039470809618
1.32,-38.9512382579585,-0.116796144243038
1.33,-38.8774160296936,-0.117552687132862
1.34,-38.8042600394701,-0.118309108725459
1.35,-38.7317598375384,-0.119065417651821
1.36,-38.6599051933328,-0.119821621953806
1.37,-38.5886860899912,-0.120577729109514
1.38,-38.5180927190593,-0.121333746057865
1.39,-38.4481154753664,-0.122089679222361
1.4,-38.3787449520541,-0.122845534534094
1.41,-38.3099719357684,-0.123601317453956
1.42,-38.2417874019951,-0.124357032994133
1.43,-38.174182510531,-0.125112685738858
1.44,-38.1071486010948,-0.125868279864429
1.45,-38.0406771890608,-0.126623819158573
1.46,-37.9747599613164,-0.127379307039096
1.47,-37.9093887722388,-0.128134746571889
1.48,-37.8445556397751,-0.128890140488299
1.49,-37.7802527416445,-0.129645491201841
1.5,-37.7164724116275,-0.130400800824342
1.51,-37.6532071359711,-0.131156071181455
1.52,-37.5904495498752,-0.131911303827641
1.53,-37.5281924340829,-0.132666500060525
1.54,-37.4664287115517,-0.133421660934774
1.55,-37.4051514442189,-0.134176787275423
1.56,-37.3443538298404,-0.134931879690658
1.57,-37.2840291989212,-0.135686938584162
1.58,-37.2241710117137,-0.136441964166923
1.59,-37.164772855298,-0.137196956468615
1.6,-37.1058284407335,-0.13795191534849
1.61,-37.0473316002791,-0.138706840505864
1.62,-36.989276284686,-0.139461731490161
1.63,-36.9316565605532,-0.140216587710548
1.64,-36.8744666077535,-0.140971408445162
1.65,-36.8177007169131,-0.14172619284998
1.66,-36.7613532869613,-0.142480939967299
1.67,-36.705418822736,-0.14323564873382
1.68,-36.6498919326458,-0.143990317988462
1.69,-36.5947673263895,-0.144744946479763
1.7,-36.5400398127307,-0.145499532873014
1.71,-36.4857042973239,-0.146254075757028
1.72,-36.431755780594,-0.147008573650643
1.73,-36.3781893556652,-0.147763025008916
1.74,-36.3250002063404,-0.148517428229046
1.75,-36.2721836051241,-0.149271781655993
1.76,-36.2197349112997,-0.150026083587881
1.77,-36.1676495690425,-0.150780332281101
1.78,-36.1159231055851,-0.15153452595521
1.79,-36.064551129422,-0.152288662797557
1.8,-36.0135293285556,-0.153042740967703
1.81,-35.9628534687854,-0.153796758601628
1.82,-35.9125193920366,-0.154550713815708
1.83,-35.8625230147257,-0.155304604710498
1.84,-35.8128603261669,-0.156058429374322
1.85,-35.7635273870135,-0.156812185886677
1.86,-35.7145203277358,-0.157565872321443
1.87,-35.665835347136,-0.158319486749915
1.88,-35.6174687108946,-0.159073027243734
1.89,-35.5694167501531,-0.159826491877524
1.9,-35.5216758601268,-0.16057987873152
1.91,-35.4742424987527,-0.16133318589396
1.92,-35.4271131853666,-0.16208641146333
1.93,-35.3802844994082,-0.162839553550536
1.94,-35.3337530791632,-0.163592610280886
1.95,-35.2875156205274,-0.164345579795985
1.96,-35.2415688758003,-0.165098460255437
1.97,-35.1959096525102,-0.165851249838569
1.98,-35.150534812262,-0.16660394674589
1.99,-35.1054412696142,-0.167356549200537
2,-35.060625990979,-0.168109055449611
2.01,-35.0160859935503,-0.168861463765367
2.02,-34.971818344253,-0.169613772446368
2.03,-34.9278201587202,-0.170365979818511
2.04,-34.8840886002899,-0.171118084235994
2.05,-34.8406208790263,-0.171870084082181
2.06,-34.7974142507641,-0.172621977770389
2.07,-34.7544660161724,-0.173373763744616
2.08,-34.7117735198424,-0.174125440480202
2.09,-34.6693341493921,-0.174877006484382
2.1,-34.6271453345958,-0.175628460296823
2.11,-34.5852045465307,-0.176379800490072
2.12,-34.5435092967418,-0.177131025669951
2.13,-34.5020571364279,-0.177882134475906
2.14,-34.460845655645,-0.17863312558127
2.15,-34.4198724825276,-0.179383997693515
2.16,-34.3791352825271,-0.180134749554447
2.17,-34.3386317576683,-0.180885379940341
2.18,-34.2983596458223,-0.181635887662022
2.19,-34.2583167199946,-0.182386271564952
2.2,-34.2185007876301,-0.183136530529215
