"Freq [GHz]","dB(St(patch_T1,patch_T1)) []"
2.09,-0.0620595007881269
2.1,-0.0625800029365527
2.11,-0.0631182096968568
2.12,-0.0636798654579265
2.13,-0.0642698756653197
2.14,-0.0648926151400633
2.15,-0.0655521443966001
2.16,-0.0662523662125249
2.17,-0.0669971430524305
2.18,-0.0677903887986847
2.19,-0.0686361437772165
2.2,-0.0695386392378172
2.21,-0.0705023556354773
2.22,-0.071532077891798
2.23,-0.072632950065347
2.24,-0.0738105313889255
2.25,-0.0750708553488087
2.26,-0.0764204933359783
2.27,-0.0778666243537361
2.28,-0.079417112302819
2.29,-0.0810805924709977
2.3,-0.0828665690266579
2.31,-0.0847855255541427
2.32,-0.0868490509800938
2.33,-0.0890699836319285
2.34,-0.0914625766587669
2.35,-0.0940426886476328
2.36,-0.0968280040126238
2.37,-0.0998382886499238
2.38,-0.103095687484109
2.39,-0.10662507193131
2.4,-0.110454447044652
2.41,-0.11461543027773
2.42,-0.119143816518136
2.43,-0.124080247462937
2.44,-0.129471007729399
2.45,-0.135368975587536
2.46,-0.141834763218103
2.47,-0.148938090415945
2.48,-0.156759447310524
2.49,-0.165392116826538
2.5,-0.174944647434911
2.51,-0.185543892865902
2.52,-0.197338770109051
2.53,-0.210504933334264
2.54,-0.2252506237248
2.55,-0.241824039848286
2.56,-0.260522689017489
2.57,-0.281705339974785
2.58,-0.305807419914174
2.59,-0.333361011890009
2.6,-0.36502105295526
2.61,-0.401599970212499
2.62,-0.444113914036545
2.63,-0.493845096466453
2.64,-0.552426735738424
2.65,-0.621960082198139
2.66,-0.705177481204727
2.67,-0.805672233902011
2.68,-0.928226420613213
2.69,-1.07928381410129
2.7,-1.26763947348718
2.71,-1.50545477172269
2.72,-1.80976182105602
2.73,-2.20469941173255
2.74,-2.72482126210842
2.75,-3.41990076957614
2.76,-4.36154217022693
2.77,-5.65066689934194
2.78,-7.41715161653243
2.79,-9.75373998579025
2.8,-12.2587120829721
2.81,-12.9063143959029
2.82,-10.8931621644651
2.83,-8.48834902499693
2.84,-6.5900579417992
2.85,-5.19132745079629
2.86,-4.16383696941299
2.87,-3.40007725326007
2.88,-2.82346206069421
2.89,-2.38104153490473
2.9,-2.03621471962951
2.91,-1.7634504658789
2.92,-1.54471383726282
2.93,-1.36708661832165
2.94,-1.22118288170859
2.95,-1.10008666417234
2.96,-0.998632415947464
2.97,-0.912911834532668
2.98,-0.839931594384753
2.99,-0.777372758010972
3,-0.723419514634013
3.01,-0.676635760921179
3.02,-0.635875097188858
3.03,-0.600214440387137
3.04,-0.568904520890303
3.05,-0.541332583181168
3.06,-0.516994000684315
3.07,-0.495470466732639
3.08,-0.476413082337822
3.09,-0.459529122210181
3.1,-0.444571586234618
3.11,-0.431330876397585
3.12,-0.419628107382332
3.13,-0.40930968212028
3.14,-0.400242854905712
3.15,-0.39231207358309
3.16,-0.385415945299028
3.17,-0.379464711849373
3.18,-0.374378153673562
3.19,-0.370083867764464
3.2,-0.366515884868815
3.21,-0.363613605274839
3.22,-0.361321039658023
3.23,-0.359586341289923
3.24,-0.358361608339905
3.25,-0.357602921063165
3.26,-0.357270560937245
3.27,-0.357329341331727
3.28,-0.357748966960154
3.29,-0.35850433665868
3.3,-0.359575713609833
3.31,-0.360948708658679
3.32,-0.362614052330251
3.33,-0.36456716371772
3.34,-0.366807553133634
3.35,-0.369338115153058
3.36,-0.372164376882573
3.37,-0.375293763358659
3.38,-0.378734930613962
3.39,-0.382497200991545
3.4,-0.386590118514706
3.41,-0.391023127400069
3.42,-0.395805365762644
3.43,-0.400945559651464
3.44,-0.406451999388277
3.45,-0.412332579915589
3.46,-0.418594888526528
3.47,-0.425246326071988
3.48,-0.432294250843046
3.49,-0.439746137350452
3.5,-0.447609744908172
3.51,-0.455893293159242
3.52,-0.464605643445517
3.53,-0.473756486265111
3.54,-0.48335653605132
3.55,-0.493417735228989
3.56,-0.503953470034769
3.57,-0.514978800994436
3.58,-0.526510711295233
3.59,-0.53856837661835
3.6,-0.551173460350474
3.61,-0.564350438505982
3.62,-0.578126959194964
